Date,Gold,Silver,Platinum
1985/01/28,297.7,6.08,270
1985/01/29,303.2,6.23,271.5
1985/01/30,302.9,6.21,272.5
1985/01/31,306.6,6.37,283
1985/02/01,303.6,6.23,277
1985/02/04,301.2,6.16,271
1985/02/05,302,6.17,271
1985/02/06,302.8,6.21,275.5
1985/02/07,301.6,6.14,276.5
1985/02/08,299.8,6.08,273.5
1985/02/11,300.1,6.09,271.5
1985/02/12,302.5,6.22,274.5
1985/02/13,303.2,6.26,274.5
1985/02/14,304.1,6.33,274.5
1985/02/15,304,6.27,274.5
1985/02/19,302.6,6.19,272.5
1985/02/20,302.9,6.21,273
1985/02/21,299.8,6.09,272
1985/02/22,298.4,6.04,272
1985/02/25,284.2,5.61,249
1985/02/26,285.7,5.64,252.5
1985/02/27,290.8,5.75,252.5
1985/02/28,287.7,5.65,251
1985/03/01,287.2,5.69,247.5
1985/03/04,288.6,5.65,247.5
1985/03/05,287.9,5.68,254
1985/03/06,287.4,5.72,254
1985/03/07,289.6,5.69,254
1985/03/08,291,5.71,254
1985/03/11,291,5.66,243
1985/03/12,288.4,5.57,243
1985/03/13,290.2,5.71,246.5
1985/03/14,290.7,5.68,245.5
1985/03/15,292.7,5.68,247.5
1985/03/18,298.8,5.87,252.5
1985/03/19,316.7,6.21,270.7
1985/03/20,324,6.36,279
1985/03/21,318.5,6.35,271.5
1985/03/22,315.5,6.32,272.5
1985/03/25,314.6,6.3,272.5
1985/03/26,323.7,6.48,275
1985/03/27,330.4,6.74,280
1985/03/28,326.2,6.58,280
1985/03/29,329.2,6.67,287.5
1985/04/01,321.1,6.52,268
1985/04/02,318.7,6.42,268.5
1985/04/03,321.2,6.5,268.5
1985/04/04,316.7,6.43,264
1985/04/08,317.5,6.57,274.5
1985/04/09,323.1,6.67,280
1985/04/10,327.2,6.7,286
1985/04/11,332.2,6.72,286
1985/04/12,329.9,6.68,286
1985/04/15,334.2,6.65,286
1985/04/16,330.5,6.52,293
1985/04/17,327.3,6.49,285
1985/04/18,329.7,6.48,284
1985/04/19,327,6.44,285
1985/04/22,327.7,6.42,286.7
1985/04/23,326.6,6.31,284
1985/04/24,322,6.16,281
1985/04/25,322.5,6.2,281
1985/04/26,323.5,6.23,281.5
1985/04/29,322.5,6.29,280.5
1985/04/30,321.3,6.27,280.5
1985/05/01,312.5,6.16,267.5
1985/05/02,313.2,6.18,268.5
1985/05/03,312.7,6.21,270
1985/05/06,309.9,6.14,265.2
1985/05/07,313.5,6.27,266
1985/05/08,312.8,6.28,265
1985/05/09,315.1,6.36,265
1985/05/10,314.5,6.32,267
1985/05/13,321,6.52,276.2
1985/05/14,326.5,6.65,280
1985/05/15,322.7,6.54,277.5
1985/05/16,320.1,6.51,277.5
1985/05/17,322.5,6.51,277.5
1985/05/20,323.3,6.39,284
1985/05/21,314.9,6.17,270
1985/05/22,316.3,6.18,272
1985/05/23,315.4,6.12,269.5
1985/05/24,314.7,6.11,269.8
1985/05/28,311.3,6.02,269.8
1985/05/29,312,6.2,269.8
1985/05/30,314.6,6.15,264
1985/05/31,314,6.21,264.8
1985/06/03,318.1,6.07,264.8
1985/06/04,315.7,6.1,269.8
1985/06/05,314.2,6.1,268
1985/06/06,314.8,6.13,268
1985/06/07,314.3,6.14,263.3
1985/06/10,312,6.09,263.8
1985/06/11,315,6.16,259
1985/06/12,314.5,6.18,259
1985/06/13,313.7,6.14,259
1985/06/14,318.2,6.23,259
1985/06/17,318.9,6.28,259
1985/06/18,323.7,6.39,259
1985/06/19,325.4,6.36,259
1985/06/20,318.1,6.2,267.5
1985/06/21,313.4,6.15,267.5
1985/06/24,314.6,6.15,264.5
1985/06/25,315.5,6.15,263
1985/06/26,316.7,6.17,263
1985/06/27,315,6.14,263
1985/06/28,317.7,6.14,264
1985/07/01,313.9,6.04,260
1985/07/02,308.2,5.91,256.5
1985/07/03,310.3,5.91,255.5
1985/07/08,309.2,6.01,258
1985/07/09,314.8,6.04,264.2
1985/07/10,314.8,6.05,269
1985/07/11,313.5,6.05,260
1985/07/12,312.6,6.06,260
1985/07/15,315.8,6.07,262
1985/07/16,321.7,6.18,262
1985/07/17,325.6,6.26,266
1985/07/18,320,6.14,274.5
1985/07/19,318.9,6.13,272.5
1985/07/22,317.2,6.08,271
1985/07/23,322.5,6.13,274.5
1985/07/24,317.7,6.06,273
